users_id,customer_count,avg_transactions_per_month,frequency_category
c9297018ab1d4dd9bde1ea4fe0ce4f6a,2591,215.9167,"High Frequency"
566126bab52a4754936e309e3166a797,4427,192.4783,"High Frequency"
a96f45b14f074cc1a9675ba104194f87,6089,190.2813,"High Frequency"
de86441af0dc4a7a9f35dc8e0251b5c3,4942,190.0769,"High Frequency"
3aa79f2f1c0148cd964a6f91dd0fd72b,5684,183.3548,"High Frequency"
e500417721c6424fb879d603615a6d77,4544,174.7692,"High Frequency"
5572810f38b543429ffb218ef15243fc,10548,162.2769,"High Frequency"
af154b8efc024eb2a88b6c872f1c6d07,1686,140.5000,"High Frequency"
a3465e8585bd4cc08127a044f03c0fd7,1480,134.5455,"High Frequency"
da1b733b34084652897e4be00f49ffb0,2272,133.6471,"High Frequency"
435c77a75e8441259a2515064fa0b83b,2427,127.7368,"High Frequency"
97cff281d1644994bfc87483a4bc60eb,623,124.6000,"High Frequency"
b33f84c8683e4e94a4d5fed93d3c981f,2896,111.3846,"High Frequency"
d6a780a0ff584555b7e24668e258555a,1163,105.7273,"High Frequency"
1909df3eba2548cfa3b9c270112bd262,2383,103.6087,"High Frequency"
875fee997c50474a8982b89443bc01e3,2182,99.1818,"High Frequency"
363237ae6a2242feb3c973ef20247f79,6319,97.2154,"High Frequency"
fe321c01bc49461a94cef73de1cd393f,2754,94.9655,"High Frequency"
06127c3513d242bcab73a569ef615f69,1265,90.3571,"High Frequency"
626639a2ad904f47bd76183910403064,3404,89.5789,"High Frequency"
f23c5baa7a6f45529a509e0ffbfefaf0,1514,89.0588,"High Frequency"
3c18ed287e314e5b879918d4cd17948e,1145,88.0769,"High Frequency"
7b96e0cd1b33483a86018472b260e022,1111,85.4615,"High Frequency"
c0d0fb9b03b545d4841c5918037c245a,1333,83.3125,"High Frequency"
7c7608175be94117bef57c5b049be720,1974,73.1111,"High Frequency"
2b89cb1d77b24c02bb0578ac909860ea,1866,71.7692,"High Frequency"
6c59c0b8094947599a0fe785287f229f,814,67.8333,"High Frequency"
295930ec4219470c91c883abecf5e8b1,743,67.5455,"High Frequency"
d5d6a528ce564e26af66d0bfc5387f5a,699,63.5455,"High Frequency"
75cb72d217324ace976cb9104d1d2d9c,3874,62.4839,"High Frequency"
03083b5170134734876344bb9ca94675,719,59.9167,"High Frequency"
6511987870964f728974da2ca8f5cdfb,1045,58.0556,"High Frequency"
72141b6db0a94e9b8414ae0e783792b7,3480,55.2381,"High Frequency"
75b9df985e254031aaba8ec44f459d2d,3420,53.4375,"High Frequency"
e0e824c5e8114cd4abd96d4c64ac35d3,1314,52.5600,"High Frequency"
fdb4471e9f364439b43c3c6b9f05d124,1739,51.1471,"High Frequency"
11dde5b851114fb295926554ea2f8731,1132,49.2174,"High Frequency"
427085b0eb1048f29d882d645658c09d,2704,47.4386,"High Frequency"
8854a6cc3d7f49079eea9b56fa512f31,467,46.7000,"High Frequency"
502fd0984ed54c3e8dc1c3884f84941b,1437,46.3548,"High Frequency"
8c8f4f9bbdde4798b059061be2a148aa,596,45.8462,"High Frequency"
ed78e6b53838467b9a4e34b8a4a37a3f,1205,44.6296,"High Frequency"
2fb594bd456a49a7bdceb70316b2bd74,933,44.4286,"High Frequency"
88f0530d2ef5437da9e7e53a59b230b1,701,43.8125,"High Frequency"
f026b5d9d7d84a7a9e452862f58b4cf9,2217,43.4706,"High Frequency"
e367097cc72646be9b0a795db8f68d0a,469,42.6364,"High Frequency"
81294b17ab9b4fe98f76cf438cfe4cc6,548,42.1538,"High Frequency"
451ab11c63d24306b4b97e26ee2697b1,503,41.9167,"High Frequency"
d4fc05997a4a419fac61fe92d3644742,1337,41.7813,"High Frequency"
b70eddd82eae4684bddc252b0b05e895,2416,39.6066,"High Frequency"
0257625a02344b239b41e1cbe60ef080,3816,39.3402,"High Frequency"
477251b6ab8241dba14bf13c8365efe9,2275,38.5593,"High Frequency"
3097d111f15b4c44ac1bf1f4cd5a12ad,845,38.4091,"High Frequency"
3a8a03951cd144bea04fc9e034e3eb9f,373,37.3000,"High Frequency"
a62efa2df0814432b82485d6989cd507,326,32.6000,"High Frequency"
6c93a7cf56d54b03853695956636e14c,293,32.5556,"High Frequency"
7cb59091cb654936ac639a570ef8d036,316,31.6000,"High Frequency"
46d8f70577514cf2a82d6058b97080d8,396,30.4615,"High Frequency"
59b759f673334e98bc108e4b0e2822a4,291,29.1000,"High Frequency"
a1a2f9d5dff949f9980e92e8284e481d,807,28.8214,"High Frequency"
c35fdf3cce1a4de1928716c8b41f1650,115,28.7500,"High Frequency"
17aca1ea399848c6859ebbf2a648f718,481,28.2941,"High Frequency"
c02b5064df6546c6bb2b32d92ab00eac,487,27.0556,"High Frequency"
b15810c73f1f4722b2ea72d9e329ea0c,1426,25.0175,"High Frequency"
c41fe7c7c9024cdabdcfe17274205f70,322,24.7692,"High Frequency"
742da71d7daa46d0801755c883bdc464,889,24.0270,"High Frequency"
ba9e2fcd601347e8a66ef6b7c89a019a,261,23.7273,"High Frequency"
4adc43f9dc2646718ff55cbe3f10b51e,118,23.6000,"High Frequency"
7ab08f67d38c48ffa774341bee84cd56,259,23.5455,"High Frequency"
893ca9504a794a478c5e98e945554ad8,305,23.4615,"High Frequency"
415edebd5c1a4a47a9828e5b2b0582e4,277,23.0833,"High Frequency"
1429681a0b554a7ab08c5f3993ac7b33,272,22.6667,"High Frequency"
01bac3db234043bda56eb8ee396c9f51,475,22.6190,"High Frequency"
a6f38978dda1462ebd0d54ff148c1bbd,512,22.2609,"High Frequency"
b53bcb2960ec45ca8ff173020cf034b7,265,22.0833,"High Frequency"
ddf57166b2d34e50b446057817e12ac3,548,21.9200,"High Frequency"
c3173c378b8940b4864ef5fb4c953e75,260,21.6667,"High Frequency"
b33c2646ad5a45aba93ce43816b58ca3,257,21.4167,"High Frequency"
0756b71ff9974b049295bdba4a29d8a4,278,21.3846,"High Frequency"
f6b76010606f4536b3e03b7e0917dc89,1272,21.2000,"High Frequency"
9386f28f466f4beab9353de550873936,127,21.1667,"High Frequency"
119d8f262a1c47639b3021db1f6f1e17,465,21.1364,"High Frequency"
97199aab639d479c91df95d20e60e840,274,21.0769,"High Frequency"
445ceb8389c1421cb5885ef6d62bec15,273,21.0000,"High Frequency"
492e842d55d945588e9315bc01714d5c,252,21.0000,"High Frequency"
4d44cf3a15804fda9c9f2e74c7e49917,420,21.0000,"High Frequency"
ede185bf57ec4183b14a2b1593ca5dab,273,21.0000,"High Frequency"
f770c2381414445f853cd61393a74957,231,21.0000,"High Frequency"
eed3bfe4ccc7485fbb30f6ee8a5a82e3,272,20.9231,"High Frequency"
c2f74044b8ba4710907560a2ddd0a546,271,20.8462,"High Frequency"
2300382f1f934c46b299c3cd575146f2,229,20.8182,"High Frequency"
52ceb40010054609b5d0ec1ff62f93d7,187,20.7778,"High Frequency"
0445a41c8a13460dafc586c8df9bb1d3,270,20.7692,"High Frequency"
e49dc68bd3f74dc28c5ac42ad0a39048,269,20.6923,"High Frequency"
77862ae0995d45fd9c44c7a124b67e16,267,20.5385,"High Frequency"
eae333a0ecf0460bb4ffcca122c4417b,308,20.5333,"High Frequency"
d9ac28174ee8436fbef4a341b440ab80,266,20.4615,"High Frequency"
df69a8c50de74328b9bc68e853cb0fe3,223,20.2727,"High Frequency"
71de31411cd4474fa961677579cda343,221,20.0909,"High Frequency"
01c07a63b3104a27b367143a69e48770,220,20.0000,"High Frequency"
1f068ca168cf48048c1012c3cccfd2ea,220,20.0000,"High Frequency"
028f736f750f4318aa71d62d3aa3d1bd,859,19.9767,"High Frequency"
15c7ad1435da4bf6924c5df4219c2602,179,19.8889,"High Frequency"
8e7740a2ad75419bb103a54f4a5a5fd1,217,19.7273,"High Frequency"
f08a65eeb1964831a2da25e2d17779b5,217,19.7273,"High Frequency"
a549807eb71046c48857f1a32277bd71,861,19.5682,"High Frequency"
be8b6039365b4ba88311c2c7f7aae779,172,19.1111,"High Frequency"
639f95866b8f411ba5e90cc95d87e73b,203,18.4545,"High Frequency"
df893a2dbb0c463892c170425953581d,201,18.2727,"High Frequency"
b2884344d1254f89a4984f16cab50cff,271,18.0667,"High Frequency"
9fb72f443118492c823855a99a1de6b4,108,18.0000,"High Frequency"
279602fb41c240689c5edfec63c7c1a1,677,17.8158,"High Frequency"
1f443df1286b4d73be27e785fcfc8e64,123,17.5714,"High Frequency"
597524e33ccf47e4ac71b86629dd628a,210,17.5000,"High Frequency"
69f2e893dd0d4cca97f611bf24012093,471,16.8214,"High Frequency"
2880b422ee214058893f6465c6e9786e,151,16.7778,"High Frequency"
9d2f0f1accb8482a9533c5cfebb156ed,132,16.5000,"High Frequency"
a1dd9266894f43929fc3f93e2dbfae86,888,16.4444,"High Frequency"
dbbbb90a9a0b405b81b981402d170aae,177,16.0909,"High Frequency"
f56e6be504904f73ae32fac0f59b2948,61,15.2500,"High Frequency"
adb8165ae2854e328e5399ff5f05dff9,91,15.1667,"High Frequency"
495db8625ba5400085dc0c1b7f32d0d2,60,15.0000,"High Frequency"
d01193c4a37e4f919836292e8bb88a8a,388,14.9231,"High Frequency"
6ff63b49b0684e08b01e5c43b304fe75,14,14.0000,"High Frequency"
ede20826e1b24abd90a0fc0ae6c4c7a0,178,13.6923,"High Frequency"
e65bebaf85694797b3dec50e8eaa5211,266,13.3000,"High Frequency"
3ef12aca125241b1988737645d022baa,159,13.2500,"High Frequency"
35002cd619a447109fefed4c462ce515,209,13.0625,"High Frequency"
0433c9d629f4487aa010eff0f035ae93,251,12.5500,"High Frequency"
